Gene,Transcrit,Protein,Accession
Acc17067,Acc17067.1,d3275.a1.a1,PSS09979
Acc17076,Acc17076.1,c204.a1.a1,PSS09988
Acc17087,Acc17087.1,d1931.a1.a1,PSS09999
Acc17091,Acc17091.1,c331.a1.a1,PSS10003
Acc17095,Acc17095.1,c742.a3.a1,PSS10007
Acc17099,Acc17099.1,d1634.a1.a1,PSS10011
Acc17110,Acc17110.1,c869.a2.a1,PSS10022
Acc17113,Acc17113.1,d2019.a1.a1,PSS10025
Acc17114,Acc17114.1,d2508.a1.a1,PSS10026
Acc17126,Acc17126.1,d3393.a1.a1,PSS10038
Acc17130,Acc17130.1,c387.a7.a1,PSS10042
Acc17139,Acc17139.1,c730.a4.a1,PSS10051
Acc17148,Acc17148.1,d3037.a1.a1,PSS10060
Acc17150,Acc17150.1,d1834.a1.a1,PSS10062
Acc17151,Acc17151.1,d3064.a1.a1,PSS10063
Acc17157,Acc17157.1,c233.a4.a1,PSS10069
Acc17166,Acc17166.1,d3032.a1.a1,PSS10078
Acc17171,Acc17171.1,d2398.a2.a1,PSS10083
Acc17172,Acc17172.1,c552.a2.a1,PSS10084
Acc17174,Acc17174.1,c751.a1.a1,PSS10086
Acc17176,Acc17176.1,c219.a4.a1,PSS10088
Acc17177,Acc17177.1,c174.a1.a1,PSS10089
Acc17185,Acc17185.1,d1806.a1.a1,PSS10097
Acc17195,Acc17195.1,d3095.a1.a1,PSS10107
Acc17196,Acc17196.1,d1391.a1.a1,PSS10108
Acc17197,Acc17197.1,d1009.a1.a1,PSS10109
Acc17201,Acc17201.1,d1735.a1.a1,PSS10194
Acc17202,Acc17202.1,d2332.a1.a1,PSS10193
Acc17205,Acc17205.1,d2032.a1.a1,PSS10190
Acc17206,Acc17206.1,c625.a1.a1,PSS10189
Acc17212,Acc17212.1,d2557.a1.a1,PSS10184
Acc17215,Acc17215.1,c858.a3.a1,PSS10181
Acc17222,Acc17222.1,d2005.a1.a1,PSS10175
Acc17224,Acc17224.1,c560.a3.a1,PSS10173
Acc17228,Acc17228.1,d2644.a1.a1,PSS10169
Acc17231,Acc17231.1,d3083.a1.a1,PSS10167
Acc17239,Acc17239.1,d1158.a1.a1,PSS10160
Acc17243,Acc17243.1,d1357.a1.a1,PSS10157
Acc17251,Acc17251.1,d3038.a1.a1,PSS10149
Acc17255,Acc17255.1,d2585.a2.a1,PSS10145
Acc17262,Acc17262.1,d1183.a1.a1,PSS10138
Acc17264,Acc17264.1,d2729.a1.a1,PSS10136
Acc17269,Acc17269.1,a3.a3.a1,PSS10131
Acc17271,Acc17271.1,c784.a1.a1,PSS10130
Acc17276,Acc17276.1,c728.a1.a1,PSS10125
Acc17279,Acc17279.1,d1971.a8.a1,PSS10122
Acc17281,Acc17281.1,a9.b14.a1,PSS10120
Acc17284,Acc17284.1,b33.a2.a1,PSS10117
Acc17286,Acc17286.1,c678.a1.a1,PSS10115
Acc17297,Acc17297.1,d1912.a1.a1,PSS10203
Acc17305,Acc17305.1,c554.a3.a1,PSS10211
Acc17311,Acc17311.1,d2520.a1.a1,PSS10217
Acc17322,Acc17322.1,d1159.a1.a1,PSS10228
Acc17323,Acc17323.1,c349.a2.a1,PSS10229
Acc17330,Acc17330.1,d1185.a1.a1,PSS10236
Acc17337,Acc17337.1,c543.a1.a1,PSS10243
Acc17348,Acc17348.1,c806.a2.a1,PSS10254
Acc17372,Acc17372.1,c465.a1.a1,PSS10278
Acc17377,Acc17377.1,d1472.a1.a1,PSS10283
Acc17399,Acc17399.1,d1221.a2.a1,PSS10305
Acc17426,Acc17426.1,c493.a1.a1,PSS10333
Acc17454,Acc17454.1,b29.a5.a1,PSS10361
Acc17458,Acc17458.1,d1010.a2.a1,PSS10365
Acc17460,Acc17460.1,d1927.a1.a1,PSS10367
Acc17461,Acc17461.1,d2412.a1.a1,PSS10368
Acc17468,Acc17468.1,c210.a2.a1,PSS10374
Acc17480,Acc17480.1,c537.a2.a1,PSS10386
Acc17485,Acc17485.1,c839.a2.a1,PSS10391
Acc17490,Acc17490.1,d1087.a3.a1,PSS10396
Acc17510,Acc17510.1,d1370.a1.a1,PSS10415
Acc17511,Acc17511.1,d1814.a1.a1,PSS10416
Acc17572,Acc17572.1,b42.a1.a1,PSS07234
Acc17578,Acc17578.1,d2006.a2.a1,PSS07239
Acc17580,Acc17580.1,d3221.a1.a1,PSS07241
Acc17584,Acc17584.1,d2095.a1.a1,PSS07245
Acc17585,Acc17585.1,c463.a4.a1,PSS07246
Acc17588,Acc17588.1,b73.a2.a1,PSS07249
Acc17600,Acc17600.1,d1303.a1.a1,PSS07261
Acc17601,Acc17601.1,d2563.a1.a1,PSS07262
Acc17602,Acc17602.1,c315.a3.a1,PSS07263
Acc17606,Acc17606.1,d1791.a2.a1,PSS07267
Acc17609,Acc17609.1,b88.a3.a1,PSS07270
Acc17611,Acc17611.1,c156.a2.a1,PSS07272
Acc17616,Acc17616.1,c159.a2.a1,PSS07277
Acc17618,Acc17618.1,c184.a1.a1,PSS07279
Acc17619,Acc17619.1,c287.a1.a1,PSS07280
Acc17623,Acc17623.1,d2901.a1.a1,PSS07282
Acc17628,Acc17628.1,d1211.a1.a1,PSS07286
Acc17640,Acc17640.1,d3006.a1.a1,PSS07298
Acc17643,Acc17643.1,c932.a1.a1,PSS07300
Acc17663,Acc17663.1,d2018.a1.a1,PSS07319
Acc17673,Acc17673.1,c539.a1.a1,PSS07329
Acc17678,Acc17678.1,c423.a2.a1,PSS07334
Acc17685,Acc17685.1,d1123.a2.a1,PSS07341
Acc17695,Acc17695.1,c205.a1.a1,PSS07350
Acc17699,Acc17699.1,c696.a9.a1,PSS07354
Acc17704,Acc17704.1,d2232.a2.a1,PSS07359
Acc17706,Acc17706.1,d2260.a1.a1,PSS07361
Acc17707,Acc17707.1,d3361.a1.a1,PSS07362
Acc17708,Acc17708.1,c720.a4.a1,PSS07363
Acc17715,Acc17715.1,c987.a1.a1,PSS07370
Acc17719,Acc17719.1,c602.a2.a1,PSS07374
Acc17723,Acc17723.1,d2662.a1.a1,PSS07378
Acc17728,Acc17728.1,d1828.a1.a1,PSS07382
Acc17732,Acc17732.1,d1361.a1.a1,PSS07386
Acc17740,Acc17740.1,d3108.a1.a1,PSS07394
Acc17747,Acc17747.1,c189.a4.a1,PSS07401
Acc17753,Acc17753.1,c892.a4.a1,PSS07407
Acc17758,Acc17758.1,d1601.a1.a1,PSS07412
Acc17761,Acc17761.1,d1479.a2.a1,PSS07415
Acc17768,Acc17768.1,c262.a1.a1,PSS07422
Acc17770,Acc17770.1,d1276.a1.a1,PSS07424
Acc17778,Acc17778.1,d1246.a1.a1,PSS07432
Acc17780,Acc17780.1,c709.a1.a1,PSS07434
Acc17789,Acc17789.1,d2601.a1.a1,PSS07442
Acc17790,Acc17790.1,d1251.a8.a1,PSS07443
Acc17793,Acc17793.1,b29.a1.a1,PSS07446
Acc17798,Acc17798.1,c228.a1.a1,PSS07451
Acc17799,Acc17799.1,d1460.a3.a1,PSS07452
Acc17809,Acc17809.1,c767.a1.a1,PSS07462
Acc17828,Acc17828.1,c960.a1.a1,PSS07481
Acc17831,Acc17831.1,d2058.a1.a1,PSS07484
Acc17832,Acc17832.1,c956.a3.a1,PSS07485
Acc17845,Acc17845.1,c252.a2.a1,PSS07497
Acc17849,Acc17849.1,d1108.a1.a1,PSS07501
Acc17851,Acc17851.1,b61.a5.a1,PSS07503
Acc17854,Acc17854.1,d3312.a1.a1,PSS07506
Acc17855,Acc17855.1,d2308.a1.a1,PSS07507
Acc17861,Acc17861.1,c150.a9.a1,PSS07513
Acc17877,Acc17877.1,d2715.a2.a1,PSS07529
Acc17880,Acc17880.1,c310.a6.a1,PSS07532
Acc17881,Acc17881.1,d3119.a1.a1,PSS07533
Acc17882,Acc17882.1,d3036.a1.a1,PSS07534
Acc17892,Acc17892.1,c736.a1.a1,PSS07544
Acc17908,Acc17908.1,d2527.a2.a1,PSS07559
Acc17914,Acc17914.1,d1362.a2.a1,PSS07565
Acc17932,Acc17932.1,c341.a1.a1,PSS07582
Acc17935,Acc17935.1,d2995.a1.a1,PSS07585
Acc17942,Acc17942.1,c374.a1.a1,PSS07592
Acc17944,Acc17944.1,c944.a2.a1,PSS07594
Acc17948,Acc17948.1,b45.a1.a1,PSS07598
Acc17949,Acc17949.1,c182.a1.a1,PSS07599
Acc17954,Acc17954.1,d2747.a1.a1,PSS07604
Acc17961,Acc17961.1,b68.a2.a1,PSS07611
Acc17973,Acc17973.1,d1033.a1.a1,PSS07621
Acc17978,Acc17978.1,b32.a5.a1,PSS07626
Acc17982,Acc17982.1,c810.a1.a1,PSS07630
Acc17989,Acc17989.1,d2965.a1.a1,PSS07637
Acc18009,Acc18009.1,d1840.a1.a1,PSS07657
Acc18018,Acc18018.1,c789.a1.a1,PSS07666
Acc18024,Acc18024.1,c646.a2.a1,PSS07672
Acc18025,Acc18025.1,d2686.a2.a1,PSS07673
Acc18026,Acc18026.1,d2686.a1.a1,PSS07674
Acc18029,Acc18029.1,d1661.a1.a1,PSS07677
Acc18032,Acc18032.1,d1100.a3.a1,PSS07680
Acc18037,Acc18037.1,c288.a2.a1,PSS07685
Acc18039,Acc18039.1,c405.a2.a1,PSS07687
Acc18040,Acc18040.1,c915.a4.a1,PSS07688
Acc18041,Acc18041.1,c480.a1.a1,PSS07689
Acc18047,Acc18047.1,d1162.a2.a1,PSS07695
Acc18050,Acc18050.1,b17.a3.a1,PSS07698
Acc18071,Acc18071.1,c435.a3.a1,PSS07718
Acc18072,Acc18072.1,b23.a4.a1,PSS07719
Acc18086,Acc18086.1,c243.a3.a1,PSS07733
Acc18098,Acc18098.1,c696.a5.a1,PSS07745
Acc18100,Acc18100.1,d2788.a1.a1,PSS07747
Acc18107,Acc18107.1,c838.a1.a1,PSS07754
Acc18112,Acc18112.1,d2296.a1.a1,PSS07759
Acc18118,Acc18118.1,d2123.a2.a1,PSS07765
Acc18139,Acc18139.1,c934.a1.a1,PSS07785
Acc18141,Acc18141.1,d1481.a2.a1,PSS07787
Acc18143,Acc18143.1,c835.a3.a1,PSS07789
Acc18148,Acc18148.1,c347.a1.a1,PSS07794
Acc18149,Acc18149.1,c347.a2.a1,PSS07795
Acc18152,Acc18152.1,c963.a2.a1,PSS07798
Acc18155,Acc18155.1,b62.a1.a1,PSS07801
Acc18163,Acc18163.1,d2473.a2.a1,PSS07809
Acc18174,Acc18174.1,c132.a1.a1,PSS07820
Acc18186,Acc18186.1,d1614.a2.a1,PSS07832
Acc18189,Acc18189.1,d1620.a1.a1,PSS07835
Acc18196,Acc18196.1,c417.a3.a1,PSS07842
Acc18212,Acc18212.1,d2363.a3.a1,PSS07858
Acc18223,Acc18223.1,b88.a2.a1,PSS07869
Acc18241,Acc18241.1,c130.a2.a1,PSS07887
Acc18244,Acc18244.1,d2386.a1.a1,PSS07890
Acc18269,Acc18269.1,c138.a5.a1,PSS07914
Acc18280,Acc18280.1,c281.a1.a1,PSS07923
Acc18288,Acc18288.1,d2224.a1.a1,PSS07931
Acc18324,Acc18324.1,c107.a4.a1,PSS07965
Acc18325,Acc18325.1,d1889.a2.a1,PSS07966
Acc18330,Acc18330.1,b32.a1.a1,PSS07971
Acc18331,Acc18331.1,c194.a1.a1,PSS07972
Acc18332,Acc18332.1,d2211.a1.a1,PSS07973
Acc18334,Acc18334.1,d1644.a1.a1,PSS07975
Acc18336,Acc18336.1,c389.a1.a1,PSS07977
Acc18337,Acc18337.1,d2593.a1.a1,PSS07978
Acc18340,Acc18340.1,d1512.a2.a1,PSS07981
Acc18353,Acc18353.1,d1383.a2.a1,PSS07994
Acc18366,Acc18366.1,b89.a4.a1,PSS08006
Acc18381,Acc18381.1,d3251.a1.a1,PSS08020
Acc18382,Acc18382.1,d3052.a1.a1,PSS08021
Acc18397,Acc18397.1,c992.a1.a1,PSS08036
Acc18399,Acc18399.1,c468.a1.a1,PSS08038
Acc18419,Acc18419.1,c441.a1.a1,PSS08057
Acc18431,Acc18431.1,c919.a1.a1,PSS08069
Acc18441,Acc18441.1,d2177.a1.a1,PSS08077
Acc18445,Acc18445.1,d1011.a2.a1,PSS08081
Acc18450,Acc18450.1,d3313.a1.a1,PSS08086
Acc18453,Acc18453.1,c860.a1.a1,PSS08089
Acc18463,Acc18463.1,d1252.a2.a1,PSS08098
Acc18466,Acc18466.1,d2507.a1.a1,PSS08099
Acc18488,Acc18488.1,c154.a2.a1,PSS08119
Acc18494,Acc18494.1,b78.a3.a1,PSS08125
Acc18504,Acc18504.1,d1230.a2.a1,PSS08134
Acc18505,Acc18505.1,d1402.a1.a1,PSS08135
Acc18513,Acc18513.1,d1790.a1.a1,PSS08143
Acc18533,Acc18533.1,c333.a3.a1,PSS08162
Acc18555,Acc18555.1,d1619.a2.a1,PSS08181
Acc18558,Acc18558.1,c226.a2.a1,PSS08184
Acc18565,Acc18565.1,d1089.a1.a1,PSS08191
Acc18566,Acc18566.1,d1495.a1.a1,PSS08192
Acc18570,Acc18570.1,d1448.a1.a1,PSS08196
Acc18573,Acc18573.1,d1880.a1.a1,PSS08199
Acc18576,Acc18576.1,d1799.a1.a1,PSS08202
Acc18579,Acc18579.1,c443.a1.a1,PSS08205
Acc18581,Acc18581.1,c620.a1.a1,PSS08207
Acc18601,Acc18601.1,b86.a3.a1,PSS08266
Acc18605,Acc18605.1,d3314.a1.a1,PSS08270
Acc18616,Acc18616.1,d1933.a1.a1,PSS08281
Acc18618,Acc18618.1,d2748.a1.a1,PSS08283
Acc18632,Acc18632.1,d1256.a1.a1,PSS08296
Acc18641,Acc18641.1,d2365.a1.a1,PSS08305
Acc18642,Acc18642.1,d3063.a1.a1,PSS08306
Acc18657,Acc18657.1,d2309.a1.a1,PSS08336
Acc18661,Acc18661.1,c475.a1.a1,PSS08340
Acc18664,Acc18664.1,d2517.a2.a1,PSS08321
Acc18667,Acc18667.1,c363.a2.a1,PSS08324
Acc18673,Acc18673.1,c333.a8.a1,PSS08330
Acc18691,Acc18691.1,c516.a3.a1,PSS08356
Acc18695,Acc18695.1,d1928.a1.a1,PSS08360
Acc18704,Acc18704.1,d1673.a1.a1,PSS08368
Acc18709,Acc18709.1,c651.a1.a1,PSS08373
Acc18715,Acc18715.1,c370.a4.a1,PSS08375
Acc18747,Acc18747.1,d3194.a1.a1,PSS08396
Acc18768,Acc18768.1,c442.a1.a1,PSS08412
Acc18779,Acc18779.1,d1862.a1.a1,PSS08423
Acc18788,Acc18788.1,c317.a2.a1,PSS08432
Acc18797,Acc18797.1,c865.a3.a1,PSS08441
Acc18798,Acc18798.1,d1543.a3.a1,PSS08442
Acc18801,Acc18801.1,c163.a2.a1,PSS08445
Acc18804,Acc18804.1,c772.a1.a1,PSS08448
Acc18810,Acc18810.1,c595.a5.a1,PSS08453
Acc18811,Acc18811.1,d3007.a1.a1,PSS08454
Acc18814,Acc18814.1,d1973.a1.a1,PSS06281
Acc18815,Acc18815.1,d2994.a1.a1,PSS06282
Acc18816,Acc18816.1,d2978.a1.a1,PSS06283
Acc18819,Acc18819.1,c470.a1.a1,PSS06286
Acc18821,Acc18821.1,c593.a2.a1,PSS06288
Acc18827,Acc18827.1,b17.b11.a1,PSS06294
Acc18831,Acc18831.1,c706.a1.a1,PSS05562
Acc18849,Acc18849.1,a5.a1.a1,PSS05580
Acc18851,Acc18851.1,d3035.a1.a1,PSS05582
Acc18853,Acc18853.1,d1464.a2.a1,PSS05584
Acc18854,Acc18854.1,d1893.a2.a1,PSS05585
Acc18858,Acc18858.1,d1061.a1.a1,PSS05589
Acc18865,Acc18865.1,c203.a4.a1,PSS05596
Acc18869,Acc18869.1,c931.a2.a1,PSS05600
Acc18871,Acc18871.1,d2847.a1.a1,PSS05602
Acc18878,Acc18878.1,c358.a2.a1,PSS05609
Acc18880,Acc18880.1,d1611.a1.a1,PSS05611
Acc18883,Acc18883.1,d2610.a1.a1,PSS05614
Acc18895,Acc18895.1,d2199.a2.a1,PSS05626
Acc18896,Acc18896.1,c707.a1.a1,PSS05627
Acc18900,Acc18900.1,c624.a1.a1,PSS05631
Acc18905,Acc18905.1,c482.b26.a1,PSS05636
Acc18910,Acc18910.1,d1805.a1.a1,PSS05641
Acc18915,Acc18915.1,d3309.a1.a1,PSS05646
Acc18921,Acc18921.1,c689.a2.a1,PSS05652
Acc18923,Acc18923.1,c109.a2.a1,PSS05654
Acc18926,Acc18926.1,d1983.a1.a1,PSS05657
Acc18937,Acc18937.1,c482.b10.a1,PSS05668
Acc18938,Acc18938.1,d1302.a1.a1,PSS05669
Acc18950,Acc18950.1,b83.a1.a1,PSS05681
Acc18953,Acc18953.1,d1237.a2.a1,PSS05684
Acc18968,Acc18968.1,c197.a4.a1,PSS05699
Acc18987,Acc18987.1,d2083.a1.a1,PSS05718
Acc18992,Acc18992.1,d1259.a1.a1,PSS05723
Acc19008,Acc19008.1,d1705.a2.a1,PSS05739
Acc19022,Acc19022.1,d1249.a3.a1,PSS05753
Acc19023,Acc19023.1,d1165.a1.a1,PSS05754
Acc19024,Acc19024.1,d1165.a3.a1,PSS05755
Acc19033,Acc19033.1,d2039.a1.a1,PSS05764
Acc19034,Acc19034.1,c630.a1.a1,PSS05765
Acc19037,Acc19037.1,d2092.a1.a1,PSS05768
Acc19040,Acc19040.1,c577.a1.a1,PSS05771
Acc19052,Acc19052.1,c883.a2.a1,PSS05783
Acc19068,Acc19068.1,d1812.a1.a1,PSS05799
Acc19073,Acc19073.1,d1762.a2.a1,PSS05804
Acc19081,Acc19081.1,b36.a1.a1,PSS05812
Acc19084,Acc19084.1,c447.a1.a1,PSS05815
Acc19087,Acc19087.1,d2643.a1.a1,PSS05818
Acc19089,Acc19089.1,d1866.a1.a1,PSS05820
Acc19090,Acc19090.1,d2685.a1.a1,PSS05821
Acc19091,Acc19091.1,d1707.a1.a1,PSS05822
Acc19093,Acc19093.1,c300.a1.a1,PSS05824
Acc19094,Acc19094.1,b86.a1.a1,PSS05825
Acc19101,Acc19101.1,c972.a1.a1,PSS05832
Acc19102,Acc19102.1,d1859.a1.a1,PSS05833
Acc19109,Acc19109.1,d3118.a1.a1,PSS05840
Acc19115,Acc19115.1,d2073.a1.a1,PSS05845
Acc19117,Acc19117.1,d2073.a2.a1,PSS05847
Acc19122,Acc19122.1,c138.a2.a1,PSS05852
Acc19124,Acc19124.1,d1260.a1.a1,PSS05854
Acc19126,Acc19126.1,d1759.a1.a1,PSS05856
Acc19129,Acc19129.1,c348.a1.a1,PSS05859
Acc19134,Acc19134.1,c120.b15.a1,PSS05864
Acc19135,Acc19135.1,d2977.a1.a1,PSS05865
Acc19136,Acc19136.1,b27.a2.a1,PSS05866
Acc19138,Acc19138.1,c590.a1.a1,PSS05868
Acc19140,Acc19140.1,d1793.a2.a1,PSS05870
Acc19145,Acc19145.1,c833.a2.a1,PSS05875
Acc19157,Acc19157.1,d1351.a3.a1,PSS06460
Acc19163,Acc19163.1,d1350.a2.a1,PSS06466
Acc19164,Acc19164.1,c757.a1.a1,PSS06467
Acc19167,Acc19167.1,c126.a1.a1,PSS06469
Acc19169,Acc19169.1,c199.a2.a1,PSS06471
Acc19171,Acc19171.1,d1253.a3.a1,PSS06473
Acc19172,Acc19172.1,d3193.a1.a1,PSS06474
Acc19173,Acc19173.1,c794.a1.a1,PSS06475
Acc19178,Acc19178.1,d1813.a1.a1,PSS06480
Acc19185,Acc19185.1,c645.a3.a1,PSS05884
Acc19186,Acc19186.1,c212.a3.a1,PSS05885
Acc19195,Acc19195.1,d1428.a2.a1,PSS05894
Acc19219,Acc19219.1,d1279.a1.a1,PSS05918
Acc19223,Acc19223.1,d1532.a1.a1,PSS05921
Acc19225,Acc19225.1,d1192.a1.a1,PSS05923
Acc19226,Acc19226.1,c215.a1.a1,PSS05924
Acc19228,Acc19228.1,d2813.a1.a1,PSS05926
Acc19232,Acc19232.1,d2501.a1.a1,PSS05930
Acc19235,Acc19235.1,d1417.a1.a1,PSS05933
Acc19248,Acc19248.1,c100.a2.a1,PSS05946
Acc19249,Acc19249.1,d3062.a1.a1,PSS05947
Acc19256,Acc19256.1,c248.a2.a1,PSS05954
Acc19260,Acc19260.1,d3191.a1.a1,PSS05958
Acc19263,Acc19263.1,d3310.a1.a1,PSS05961
Acc19267,Acc19267.1,b18.b11.a1,PSS05965
Acc19270,Acc19270.1,b60.a7.a1,PSS05968
Acc19272,Acc19272.1,c867.a1.a1,PSS05970
Acc19281,Acc19281.1,c980.a1.a1,PSS05979
Acc19297,Acc19297.1,b18.a8.a1,PSS05995
Acc19304,Acc19304.1,c954.a3.a1,PSS06002
Acc19306,Acc19306.1,c954.a4.a1,PSS06004
Acc19316,Acc19316.1,d3311.a1.a1,PSS06016
Acc19317,Acc19317.1,d1456.a2.a1,PSS06017
Acc19326,Acc19326.1,d2063.a1.a1,PSS06026
Acc19342,Acc19342.1,d2364.a1.a1,PSS06042
Acc19349,Acc19349.1,d2363.a2.a1,PSS06049
Acc19350,Acc19350.1,c873.a1.a1,PSS06050
Acc19353,Acc19353.1,c191.a2.a1,PSS06053
Acc19354,Acc19354.1,c525.a3.a1,PSS06054
Acc19355,Acc19355.1,c913.a7.a1,PSS06055
Acc19361,Acc19361.1,c986.a1.a1,PSS06088
Acc19373,Acc19373.1,d1538.a1.a1,PSS06100
Acc19376,Acc19376.1,d2405.a1.a1,PSS06103
Acc19379,Acc19379.1,c472.a3.a1,PSS06106
Acc19389,Acc19389.1,d2787.a1.a1,PSS06116
Acc19397,Acc19397.1,c637.a5.a1,PSS06124
Acc19410,Acc19410.1,c421.a4.a1,PSS06137
Acc19422,Acc19422.1,d1070.a1.a1,PSS06149
Acc19426,Acc19426.1,d2514.a1.a1,PSS06153
Acc19427,Acc19427.1,c458.a1.a1,PSS06154
Acc19429,Acc19429.1,d1628.a1.a1,PSS06156
Acc19432,Acc19432.1,c748.a2.a1,PSS06159
Acc19433,Acc19433.1,d1201.a1.a1,PSS06160
Acc19457,Acc19457.1,d1221.a1.a1,PSS06184
Acc19463,Acc19463.1,d1222.a2.a1,PSS06301
Acc19467,Acc19467.1,c883.a1.a1,PSS06305
Acc19486,Acc19486.1,d2406.a1.a1,PSS06324
Acc19501,Acc19501.1,c801.a1.a1,PSS06339
Acc19504,Acc19504.1,d1685.a2.a1,PSS06342
Acc19511,Acc19511.1,d1115.a1.a1,PSS06349
Acc19527,Acc19527.1,d1463.a1.a1,PSS06365
Acc19537,Acc19537.1,d1000.a2.a1,PSS06407
Acc19565,Acc19565.1,d2669.a1.a1,PSS06388
Acc19566,Acc19566.1,d2592.a1.a1,PSS06389
Acc19578,Acc19578.1,c243.a4.a1,PSS06401
Acc19598,Acc19598.1,d2266.a1.a1,PSS06426
Acc19599,Acc19599.1,c642.a1.a1,PSS06427
Acc19603,Acc19603.1,d3249.a1.a1,PSS06431
Acc19609,Acc19609.1,d3250.a1.a1,PSS06437
Acc19619,Acc19619.1,d1483.a1.a1,PSS06447
Acc19627,Acc19627.1,d3192.a1.a1,PSS06455
Acc19641,Acc19641.1,c169.a1.a1,PSS06231
Acc19650,Acc19650.1,c951.a1.a1,PSS06224
Acc19651,Acc19651.1,d2307.a1.a1,PSS06223
Acc19654,Acc19654.1,c780.a1.a1,PSS06220
Acc19657,Acc19657.1,d1379.a2.a1,PSS06217
Acc19671,Acc19671.1,c324.a3.a1,PSS06205
Acc19672,Acc19672.1,d1950.a1.a1,PSS06204
Acc19681,Acc19681.1,c305.a1.a1,PSS06195
Acc19682,Acc19682.1,c836.a1.a1,PSS06194
Acc19695,Acc19695.1,d1103.a2.a1,PSS06083
Acc19699,Acc19699.1,c844.a2.a1,PSS06079
Acc19701,Acc19701.1,d2541.a1.a1,PSS06077
Acc19702,Acc19702.1,d3246.a1.a1,PSS06076
Acc19715,Acc19715.1,b55.a1.a1,PSS06263
Acc19717,Acc19717.1,c923.a2.a1,PSS06265
Acc19722,Acc19722.1,d3247.a1.a1,PSS06270
Acc19724,Acc19724.1,c261.a2.a1,PSS06272
Acc19725,Acc19725.1,d1637.a1.a1,PSS06273
Acc19726,Acc19726.1,d3248.a1.a1,PSS06274
Acc19728,Acc19728.1,d3014.a1.a1,PSS06276
Acc19737,Acc19737.1,d2227.a2.a1,PSS03903
Acc19742,Acc19742.1,d3141.a1.a1,PSS03908
Acc19751,Acc19751.1,c482.b23.a1,PSS03916
Acc19770,Acc19770.1,c416.a1.a1,PSS03936
Acc19792,Acc19792.1,d3051.a1.a1,PSS03958
Acc19796,Acc19796.1,d2812.a1.a1,PSS03962
Acc19801,Acc19801.1,c793.a1.a1,PSS03966
Acc19805,Acc19805.1,d1149.a2.a1,PSS03970
Acc19808,Acc19808.1,d2562.a1.a1,PSS03973
Acc19818,Acc19818.1,d3359.a1.a1,PSS03983
Acc19832,Acc19832.1,d2625.a1.a1,PSS03996
Acc19835,Acc19835.1,c781.a1.a1,PSS03999
Acc19840,Acc19840.1,d1999.a2.a1,PSS04004
Acc19844,Acc19844.1,c612.a2.a1,PSS04008
Acc19848,Acc19848.1,d3387.a1.a1,PSS04012
Acc19872,Acc19872.1,c360.a1.a1,PSS04034
Acc19879,Acc19879.1,d2880.a1.a1,PSS04040
Acc19897,Acc19897.1,d1411.a2.a1,PSS04058
Acc19900,Acc19900.1,c901.a1.a1,PSS04061
Acc19907,Acc19907.1,c373.a2.a1,PSS04068
Acc19910,Acc19910.1,d1770.a1.a1,PSS04071
Acc19913,Acc19913.1,d1103.a1.a1,PSS04073
Acc19915,Acc19915.1,c940.a2.a1,PSS04075
Acc19920,Acc19920.1,c491.a2.a1,PSS04080
Acc19922,Acc19922.1,c559.a1.a1,PSS04082
Acc19933,Acc19933.1,d2126.a1.a1,PSS04093
Acc19938,Acc19938.1,d1442.a1.a1,PSS04098
Acc19955,Acc19955.1,d2745.a1.a1,PSS04115
Acc19963,Acc19963.1,c215.a3.a1,PSS04123
Acc19966,Acc19966.1,c975.a1.a1,PSS04126
Acc19978,Acc19978.1,d1063.a1.a1,PSS04138
Acc19982,Acc19982.1,d2178.a1.a1,PSS04142
Acc19987,Acc19987.1,c178.a2.a1,PSS04147
Acc19988,Acc19988.1,d1648.a2.a1,PSS04148
Acc20006,Acc20006.1,c632.a1.a1,PSS04166
Acc20007,Acc20007.1,d2976.a1.a1,PSS04167
Acc20010,Acc20010.1,c702.a1.a1,PSS04170
Acc20011,Acc20011.1,b11.b13.a1,PSS04171
Acc20012,Acc20012.1,c703.a2.a1,PSS04172
Acc20019,Acc20019.1,c641.a1.a1,PSS04179
Acc20020,Acc20020.1,d2422.a1.a1,PSS04180
Acc20023,Acc20023.1,c206.a1.a1,PSS04183
Acc20024,Acc20024.1,d2705.a1.a1,PSS04184
Acc20028,Acc20028.1,b30.a2.a1,PSS04188
Acc20034,Acc20034.1,c266.a3.a1,PSS04193
Acc20037,Acc20037.1,d1558.a2.a1,PSS04196
Acc20040,Acc20040.1,d2038.a1.a1,PSS04199
Acc20047,Acc20047.1,d2249.a1.a1,PSS04206
Acc20060,Acc20060.1,c888.a5.a1,PSS04218
Acc20070,Acc20070.1,b35.a8.a1,PSS04227
Acc20092,Acc20092.1,d1521.a1.a1,PSS04248
Acc20097,Acc20097.1,d1454.a1.a1,PSS04253
Acc20100,Acc20100.1,d1847.a1.a1,PSS04256
Acc20118,Acc20118.1,a9.b10.a1,PSS04272
Acc20123,Acc20123.1,d2363.a1.a1,PSS04277
Acc20137,Acc20137.1,c350.a1.a1,PSS04289
Acc20138,Acc20138.1,d1617.a1.a1,PSS04290
Acc20150,Acc20150.1,d1485.a1.a1,PSS04301
Acc20153,Acc20153.1,c398.a6.a1,PSS04304
Acc20167,Acc20167.1,d2397.a2.a1,PSS04320
Acc20170,Acc20170.1,c640.a1.a1,PSS04323
